bioregion,species,Fc_p_m,Fc_p_sd,Fc_p_q1,Fc_p_q3,Fn_p_m,Fn_p_sd,Fn_p_q1,Fn_p_q3,Fp_p_m,Fp_p_sd,Fp_p_q1,Fp_p_q3,Ic_p_m,Ic_p_sd,Ic_p_q1,Ic_p_q3,Gc_p_m,Gc_p_sd,Gc_p_q1,Gc_p_q3,I_herb_p_m,I_herb_p_sd,I_herb_p_q1,I_herb_p_q3,I_pisc_p_m,I_pisc_p_sd,I_pisc_p_q1,I_pisc_p_q3,occurence,rel_occ
c_indopacific,Abudefduf_notatus,8.199747088618124e-4,0.0011212776899083405,3.156192174817604e-4,0.0031609933727614315,0.0010880855484112,9.186919221337863e-4,4.157427238353746e-4,0.004034180915401307,0.001386177800394267,9.186919221337863e-4,4.117211638588278e-4,0.0027990404738853203,8.399952350477562e-4,0.0011948336053074536,3.2039450468569097e-4,0.003384142209159904,0.0011155729909187871,0.002108963309349966,3.8490080040673355e-4,0.005993249110822713,0,0,0,0,0,0,0,0,5,1.0056113111160274e-4
c_indopacific,Abudefduf_septemfasciatus,0.005043812796339603,NA,0.005043812796339603,0.005043812796339603,0.005249960668497955,NA,0.005249960668497955,0.005249960668497955,6.162929278909803e-4,NA,6.162929278909803e-4,6.162929278909803e-4,0.005389502425222726,NA,0.005389502425222726,0.005389502425222726,0.00963677531603715,NA,0.00963677531603715,0.00963677531603715,0,NA,0,0,0,NA,0,0,1,2.011222622232055e-5
c_indopacific,Abudefduf_sordidus,0.001010263544998222,0.0011582803298476835,2.231724081615613e-4,0.0028307231587741686,9.847801964371799e-4,8.07599911846263e-4,2.855091060749723e-4,0.0034953387660384854,2.256262887884987e-4,8.07599911846263e-4,1.7555100530191649e-4,0.0018152061930740407,0.001079426471552635,0.0012164643982080262,2.3652184106037156e-4,0.002978809429726719,0.002014743754505358,0.0018684100104941898,4.017810397178213e-4,0.004674180360622629,0,0,0,0,0,0,0,0,3,6.0336678666961645e-5
c_indopacific,Acanthurus_albipectoralis,0.0032855589225590327,NA,0.0032855589225590327,0.0032855589225590327,0.003182551391697939,NA,0.003182551391697939,0.003182551391697939,0.004051777266105097,NA,0.004051777266105097,0.004051777266105097,0.00309887270696739,NA,0.00309887270696739,0.00309887270696739,9.80474504847227e-4,NA,9.80474504847227e-4,9.80474504847227e-4,0.007882243667108614,NA,0.007882243667108614,0.007882243667108614,0,NA,0,0,1,2.011222622232055e-5
c_indopacific,Acanthurus_nigroris,0.006612732232628909,NA,0.006612732232628909,0.006612732232628909,0.00599972148886636,NA,0.00599972148886636,0.00599972148886636,0.010206780859477571,NA,0.010206780859477571,0.010206780859477571,0.006040036450397165,NA,0.006040036450397165,0.006040036450397165,0,NA,0,0,0.04287658345289259,NA,0.04287658345289259,0.04287658345289259,0,NA,0,0,1,2.011222622232055e-5
c_indopacific,Acanthurus_tennentii,8.332084392036912e-4,5.45393489280195e-4,3.608838224284065e-4,0.001305533055978976,6.212170649696619e-4,3.759685791469961e-4,2.92707908702051e-4,9.497262212372729e-4,4.136990111092316e-4,3.759685791469961e-4,8.810067054319261e-5,7.392973516752706e-4,8.267156298605053e-4,5.249520673828823e-4,3.7209380373776877e-4,0.0012813374559832418,7.403216664528204e-4,3.547509518276738e-4,4.330983301533453e-4,0.0010475450027522956,0.021139688143539573,0.012147979841683037,0.010619228995980801,0.031660147291098346,0,0,0,0,2,4.02244524446411e-5
c_indopacific,Amphiprion_akallopisos,7.40645589304773e-4,9.92085211364394e-4,3.322805158781139e-5,0.0022781992917334888,8.301590913894536e-4,0.0017105257011009942,3.9153687265342946e-5,0.002737702279966962,7.064829278770304e-4,0.0017105257011009942,3.0369629648256738e-5,0.0041061111727628,7.358633390344819e-4,9.404851825159586e-4,3.187633240313937e-5,0.002134295976096298,3.737658211107827e-4,5.737175242104876e-4,2.191876537394558e-5,0.0013610727919357106,0,0,0,0,0,0,0,0,4,8.04489048892822e-5
c_indopacific,Amphiprion_ephippium,5.452914375720322e-5,9.60855118065043e-6,4.6207894341196986e-5,6.285039317320945e-5,7.776479729077696e-5,9.604338392423464e-6,6.841444286616575e-5,8.711515171538816e-5,9.64092706930977e-5,9.604338392423464e-6,8.809166965871678e-5,1.0472687172747861e-4,5.660703035971985e-5,9.89287253937248e-6,4.803955142422181e-5,6.517450929521788e-5,7.626074028946047e-5,1.1851884745288324e-5,6.599670701731553e-5,8.652477356160542e-5,0,0,0,0,0,0,0,0,2,4.02244524446411e-5
c_indopacific,Amphiprion_frenatus,1.4189210082910257e-4,5.4623918392957354e-5,9.458639984655346e-5,1.8919780181165169e-4,1.830529821862587e-4,3.369931283884493e-5,1.263888219875678e-4,2.3971714238494964e-4,1.0891465387591006e-4,3.369931283884493e-5,7.973019286739126e-5,1.3809911488442885e-4,1.505416506863048e-4,5.756720370734165e-5,1.0068698985091322e-4,2.003963115216964e-4,2.3938708583415698e-4,7.257089818406853e-5,1.7653884443129966e-4,3.022353272370143e-4,0,0,0,0,0,0,0,0,2,4.02244524446411e-5
c_indopacific,Amphiprion_melanopus,3.429647786628515e-4,1.662666378317266e-4,1.9897364649874947e-4,4.8695591082695353e-4,4.681474716106424e-4,7.010500638478577e-5,2.752862457973869e-4,6.610086974238979e-4,6.098273439665672e-4,7.010500638478577e-5,5.491146275048725e-4,6.70540060428262e-4,3.4136034477974845e-4,1.7589606054089658e-4,1.8902988792572644e-4,4.936908016337705e-4,3.187814817379187e-4,2.660151189014081e-4,8.840563097856126e-5,5.491573324972761e-4,0,0,0,0,0,0,0,0,2,4.02244524446411e-5
