Gaspar_code,Genus_and_species,FB_Spec_Code,Family,Genus,Species,Size-FishBase,Size_type,IUCN_status,Piscivores,DIET SPECIALIZATION (CORALS),HABITAT SPECIALIZATION (CORALS)
6025,Balistapus undulatus,6025,Balistidae,Balistapus,undulatus,30,TL,,0,FAC,Linked
19,Balistes vetula,19,Balistidae,Balistes,vetula,60,TL,,0,FAC,Linked
6026,Balistoides viridescens,6026,Balistidae,Balistoides,viridescens,75,TL,,0,FAC,Linked
6027,Pseudobalistes flavimarginatus,6027,Balistidae,Pseudobalistes,flavimarginatus,60,TL,,0,FAC,Linked
8226,Pseudobalistes naufragium,8226,Balistidae,Pseudobalistes,naufragium,100,TL,,0,FAC,Linked
6033,Ecsenius bicolor,6033,Blenniidae,Ecsenius,bicolor,11,TL,,0,FAC,Linked
6032,Exallias brevis,6032,Blenniidae,Exallias,brevis,14.5,TL,,0,FAC,Linked
12529,Amphichaetodon howensis,12529,Chaetodontidae,Amphichaetodon,howensis,18,SL,,0,FAC,Linked
10293,Amphichaetodon melbae,10293,Chaetodontidae,Amphichaetodon,melbae,11,SL,,0,FAC,Linked
6515,Chaetodon adiergastos,6515,Chaetodontidae,Chaetodon,adiergastos,20,TL,,0,FAC,Linked
58164,Chaetodon andamanensis,58164,Chaetodontidae,Chaetodon,andamanensis,15,TL,,0,FAC,Linked
6665,Chaetodon argentatus,6665,Chaetodontidae,Chaetodon,argentatus,20,TL,,0,FAC,Linked
6513,Chaetodon aureofasciatus,6513,Chaetodontidae,Chaetodon,aureofasciatus,12.5,TL,,0,FAC,Linked
6648,Chaetodon auripes,6648,Chaetodontidae,Chaetodon,auripes,20,TL,,0,FAC,Linked
6514,Chaetodon austriacus,6514,Chaetodontidae,Chaetodon,austriacus,13,SL,,0,FAC,Linked
8015,Chaetodon blackburnii,8015,Chaetodontidae,Chaetodon,blackburnii,13,TL,,0,FAC,Linked
5560,Chaetodon burgessi,5560,Chaetodontidae,Chaetodon,burgessi,14,TL,,0,FAC,Linked
3602,Chaetodon capistratus,3602,Chaetodontidae,Chaetodon,capistratus,7.5,TL,,0,FAC,Linked
5561,Chaetodon citrinellus,5561,Chaetodontidae,Chaetodon,citrinellus,13,TL,,0,FAC,Linked
7803,Chaetodon collare,7803,Chaetodontidae,Chaetodon,collare,18,TL,,0,FAC,Linked
10352,Chaetodon decussatus,10352,Chaetodontidae,Chaetodon,decussatus,20,TL,,0,FAC,Linked
25436,Chaetodon dialeucos,25436,Chaetodontidae,Chaetodon,dialeucos,18,TL,,0,FAC,Linked
5562,Chaetodon ephippium,5562,Chaetodontidae,Chaetodon,ephippium,30,TL,,0,FAC,Linked
8014,Chaetodon falcula,8014,Chaetodontidae,Chaetodon,falcula,20,TL,,0,FAC,Linked
