Family,Species,Functional_group,Climate_change_vulnerability,Fishing_vulnerabilty
Acanthuridae,Acanthurus dussumieri,Roving grazer,0.21,36.05
Acanthuridae,Acanthurus leucosternon,Roving grazer,0.27,39.67
Acanthuridae,Acanthurus lineatus,Roving grazer,0.25,22.88
Acanthuridae,Acanthurus mata,Planktivore,0.18,39.43
Acanthuridae,Acanthurus nigricauda,Detritivore,0.34,24.96
Acanthuridae,Acanthurus nigrofuscus,Roving grazer,0.31,27.14
Acanthuridae,Acanthurus nigroris,Roving grazer,0.31,24.93
Acanthuridae,Acanthurus tennenti,Detritivore,0.25,28.73
Acanthuridae,Acanthurus thompsoni,Planktivore,0.22,29.70
Acanthuridae,Acanthurus triostegus,Roving grazer,0.25,22.78
Acanthuridae,Acanthurus xanthopterus,Detritivore,0.19,48.08
Acanthuridae,Acanthurus blochi,Roving grazer,0.21,37.49
Acanthuridae,Ctenochaetus striatus,Detritivore,0.25,17.30
Acanthuridae,Ctenochaetus truncatus,Detritivore,0.35,22.20
Acanthuridae,Ctenochaetus binotatus,Detritivore,0.25,23.63
Acanthuridae,Naso brachycentron,Roving grazer,0.19,66.51
Acanthuridae,Naso brevirostris,Planktivore,0.18,32.69
Acanthuridae,Naso hexacanthus,Planktivore,0.16,41.20
Acanthuridae,Naso lituratus,Roving grazer,0.18,33.25
Acanthuridae,Naso unicornis,Roving grazer,0.16,56.57
Acanthuridae,Naso vlamingii,Planktivore,0.25,37.79
Acanthuridae,Naso annulatus,Planktivore,0.16,45.42
Acanthuridae,Paracanthurus hepatus,Planktivore,0.61,28.73
Acanthuridae,Zebrasoma gemmatum,Roving grazer,0.22,23.63
Acanthuridae,Zebrasoma scopas,Roving grazer,0.41,63.38
Acanthuridae,Zebrasoma veliferum,Roving grazer,0.34,35.89
Acanthuridae,Zebrasoma desjardinii,Roving grazer,0.51,32.98
Chaetodontidae,Chaetodon bennetti,Obligate corallivore,0.88,13.37
Chaetodontidae,Chaetodon blackburnii,Micro-invertivore,0.52,10.00
Chaetodontidae,Chaetodon citrinellus,Facultative corallivore,0.72,10.00
Chaetodontidae,Chaetodon collare,Facultative corallivore,0.61,12.47
Chaetodontidae,Chaetodon dolosus,Micro-invertivore,0.33,10.53
Chaetodontidae,Chaetodon falcula,Micro-invertivore,0.66,20.89
Chaetodontidae,Chaetodon guttatissimus,Facultative corallivore,0.72,10.00
Chaetodontidae,Chaetodon kleinii,Facultative corallivore,0.63,10.53
Chaetodontidae,Chaetodon lineolatus,Facultative corallivore,0.47,21.40
Chaetodontidae,Chaetodon lunula,Facultative corallivore,0.55,13.37
Chaetodontidae,Chaetodon madagaskariensis,Facultative corallivore,0.55,10.00
Chaetodontidae,Chaetodon melannotus,Facultative corallivore,0.52,47.26
Chaetodontidae,Chaetodon meyeri,Obligate corallivore,0.91,13.37
Chaetodontidae,Chaetodon triangulum,Obligate corallivore,0.91,11.03
Chaetodontidae,Chaetodon trifascialis,Obligate corallivore,0.97,24.49
Chaetodontidae,Chaetodon trifasciatus,Obligate corallivore,0.95,10.00
Chaetodontidae,Chaetodon unimaculatus,Facultative corallivore,0.72,13.37
Chaetodontidae,Chaetodon vagabundus,Facultative corallivore,0.54,15.95
Chaetodontidae,Chaetodon xanthocephalus,Micro-invertivore,0.62,13.37
Chaetodontidae,Chaetodon zanzibariensis,Obligate corallivore,0.85,10.00
Chaetodontidae,Chaetodon auriga,Facultative corallivore,0.43,11.53
Chaetodontidae,Forcipiger longirostris,Micro-invertivore,0.47,15.28
Chaetodontidae,Forcipiger flavissimus,Micro-invertivore,0.50,15.28
Chaetodontidae,Hemitaurichthys monoceros,Micro-invertivore,0.39,16.91
Chaetodontidae,Hemitaurichthys pleurotaenia,Micro-invertivore,0.46,12.01
Chaetodontidae,Hemitaurichthys zoster,Planktivore,0.36,38.14
Chaetodontidae,Heniochus acuminatus,Planktivore,0.25,17.49
Labridae,Anampses meleagrides,Micro-invertivore,0.31,31.06
Labridae,Anampses twistii,Micro-invertivore,0.39,28.25
Labridae,Anampses caeruleopunctatus,Macro-invertivore,0.21,42.69
Labridae,Bodianus axillaris,Micro-invertivore,0.35,34.79
Labridae,Bodianus bilunulatus,Micro-invertivore,0.27,54.93
Labridae,Bodianus diana,Micro-invertivore,0.42,38.90
Labridae,Bodianus macrourus,Micro-invertivore,0.21,36.05
Labridae,Bodianus anthioides,Micro-invertivore,0.34,38.32
Labridae,Cheilinus aygula,Macro-invertivore,0.22,72.36
Labridae,Cheilinus batuensis,Macro-invertivore,0.35,26.96
Labridae,Cheilinus caudimacula,Macro-invertivore,0.30,29.65
Labridae,Cheilinus fasciatus,Macro-invertivore,0.23,50.57
Labridae,Cheilinus freirei,Macro-invertivore,0.21,56.56
Labridae,Cheilinus oxycephalus,Macro-invertivore,0.39,29.96
Labridae,Cheilinus trilobatus,Macro-invertivore,0.27,44.90
Labridae,Cheilinus undulatus,Macro-invertivore,0.51,73.49
Labridae,Cheilinus variegata,Macro-invertivore,0.35,29.65
Labridae,Cheilinus chlorourus,Macro-invertivore,0.27,46.00
Labridae,Cheilio inermis,Micro-invertivore,0.21,58.25
