Species,lwa_m,lwa_sd,lwb_m,lwb_sd
Sargocentron suborbitale,0.01622,0.00876020408163266,2.97,0.086734693877551
Clepticus africanus,0.01,0.00588775510204082,3.05,0.0918367346938776
Chlorurus strongylocephalus,0.01413,0.00824489795918367,3.04,0.0918367346938776
Scarus coeruleus,0.01288,0.00498469387755102,3.05,0.0765306122448981
Leptoscarus vaigiensis,0.00891,0.00244897959183674,3.01,0.0663265306122451
Calotomus carolinus,0.0123,0.00380612244897959,3.13,0.0714285714285715
Calotomus viridescens,0.01995,0.0122448979591837,3.01,0.0918367346938776
Calotomus spinidens,0.01202,0.00363265306122449,3.13,0.0714285714285715
Cryptotomus roseus,0.01202,0.00427040816326531,3.13,0.0765306122448979
Nicholsina denticulata,0.01096,0.0059234693877551,3.08,0.0918367346938774
Sparisoma cretense,0.00955,0.00236734693877551,3.08,0.0612244897959184
Sparisoma radians,0.00977,0.00343367346938776,3.06,0.0765306122448979
Sparisoma atomarium,0.015714322511065,0.0054640765998536,3.12478840589298,0.071646183803889
Sparisoma tuiupiranga,0.01622,0.00562755102040816,3.13,0.0714285714285715
Sparisoma aurofrenatum,0.01072,0.00351020408163265,3.13,0.0714285714285715
Sparisoma amplum,0.01622,0.00575510204081633,3.13,0.0765306122448979
Sparisoma viride,0.0138,0.00370918367346939,3.05,0.0663265306122451
Sparisoma axillare,0.01288,0.00384183673469388,3.09,0.0663265306122451
Sparisoma rubripinne,0.00933,0.00327551020408163,3.04,0.0765306122448979
Sparisoma frondosum,0.01259,0.00427040816326531,3.12,0.0714285714285713
Sparisoma chrysopterum,0.01072,0.00286224489795918,3.09,0.0663265306122451
Cetoscarus ocellatus,0.01479,0.00596428571428571,3.03,0.0765306122448981
Cetoscarus bicolor,0.0145973784399628,0.00638531450648641,3.02926406679813,0.0795448135816638
Bolbometopon muricatum,0.01413,0.00824489795918367,3.04,0.0918367346938776
Hipposcarus harid,0.0126492716903109,0.00520600529137815,3.03319083624261,0.0774254850407434
Hipposcarus longiceps,0.0123,0.00485714285714286,3.03,0.0765306122448981
Chlorurus japanensis,0.01413,0.00824489795918367,3.04,0.0918367346938776
Chlorurus frontalis,0.01023,0.00371428571428572,3.09,0.0816326530612246
Chlorurus rhakoura,0.01413,0.00824489795918367,3.04,0.0918367346938776
Chlorurus spilurus,0.01413,0.00824489795918367,3.04,0.0918367346938776
Chlorurus sordidus,0.01585,0.00176020408163265,3.06,0.0255102040816326
Chlorurus bleekeri,0.0257,0.0130459183673469,3.02,0.0918367346938776
Chlorurus bowersi,0.00794,0.00529081632653061,3.1,0.10204081632653
Chlorurus microrhinos,0.01622,0.00431122448979592,3.03,0.0612244897959184
Chlorurus capistratoides,0.01413,0.00824489795918367,3.04,0.0918367346938776
Scarus dubius,0.0144713643736042,0.00794539921567776,3.05290188498193,0.0838755403978405
Scarus longipinnis,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus psittacus,0.01585,0.00176530612244898,3.06,0.0204081632653061
Scarus schlegeli,0.0166,0.0044030612244898,3.03,0.0612244897959184
Scarus russelii,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus hypselopterus,0.01148,0.00878571428571429,3.09,0.102040816326531
Scarus flavipectoralis,0.02188,0.0115051020408163,3.05,0.0969387755102043
Scarus spinus,0.01148,0.00878571428571429,3.09,0.102040816326531
Scarus festivus,0.01175,0.00503061224489796,3.15,0.0816326530612246
Scarus chameleon,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus quoyi,0.01622,0.00742857142857143,3.11,0.086734693877551
Scarus oviceps,0.01047,0.00466326530612245,3.12,0.0816326530612243
Scarus globiceps,0.01023,0.00446938775510204,3.11,0.086734693877551
Scarus rivulatus,0.01514,0.00406122448979592,3.08,0.0612244897959184
Scarus taeniopterus,0.0178133344633588,0.0087588409151126,3.01478984060545,0.0878020591623406
Scarus zelindae,0.01905,0.0096734693877551,3,0.0918367346938776
Scarus iseri,0.01096,0.00318367346938776,3.02,0.0663265306122448
Scarus coelestinus,0.01585,0.0074030612244898,3.06,0.0816326530612246
Scarus guacamaia,0.01349,0.0045765306122449,3.03,0.0714285714285715
Scarus trispinosus,0.01862,0.00742857142857143,3.06,0.0765306122448979
Scarus koputea,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus xanthopleura,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus ferrugineus,0.0149731556561968,0.00644173414444647,3.06572103546281,0.0754596144499725
Scarus rubroviolaceus,0.01318,0.00378061224489796,3.09,0.0612244897959184
Scarus compressus,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus ghobban,0.01445,0.00179591836734694,3.04,0.0204081632653061
Scarus frenatus,0.02089,0.00833673469387755,3.09,0.0765306122448981
Scarus dimidiatus,0.01349,0.00600510204081633,3.12,0.0816326530612243
Scarus altipinnis,0.0138,0.00362755102040816,3.02,0.0612244897959184
Scarus prasiognathos,0.01148,0.00878571428571429,3.09,0.102040816326531
Scarus niger,0.01549,0.00404081632653061,3.11,0.0612244897959184
Scarus tricolor,0.01778,0.00709693877551021,3.08,0.0765306122448979
Scarus forsteni,0.01622,0.00808163265306122,3.02,0.0918367346938776
Scarus hoefleri,0.01096,0.0044234693877551,3,0.0765306122448979
Coris atlantica,0.01,0.00559183673469388,3.06,0.086734693877551
Scarus perrico,0.01148,0.00878571428571429,3.09,0.102040816326531
Pseudojuloides cerasinus,0.01,0.00559183673469388,3.06,0.086734693877551
Chlorurus perspicillatus,0.00952654276980256,0.00556260656146761,3.04278233181745,0.0865914670245017
Thalassoma newtoni,0.0049,0.00355102040816327,3.11,0.107142857142857
Scarus vetula,0.01445,0.00851020408163265,3.05,0.0867346938775512
Parapriacanthus ransonneti,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris oualensis,0.01445,0.00924489795918368,2.98,0.102040816326531
Pempheris vanicolensis,0.01288,0.00647959183673469,2.98,0.0969387755102041
Pempheris schwenkii,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris schomburgkii,0.01585,0.00925,2.95,0.10204081632653
Pempheris analis,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris mangula,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris adusta,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris molucca,0.01585,0.0111479591836735,2.99,0.107142857142857
Lactophrys bicaudalis,0.0342221943134822,0.0138353991491503,2.79424511305385,0.0832304191492941
Rhinesomus triqueter,0.0342221943134822,0.0138353991491503,2.79424511305385,0.0832304191492941
Acanthostracion quadricornis,0.04074,0.0149387755102041,2.7,0.0816326530612243
Acanthostracion polygonius,0.02818,0.00945918367346939,2.83,0.0765306122448979
Lactoria diaphana,0.03631,0.0197857142857143,2.81,0.0969387755102041
