"Family","alpha","alpha_sd","B0","B0_sd","theta"
"Acanthuridae",0.77137058688343,0.0225287408094503,0.0903571509287252,0.00190868028501698,1.14064182552676
"Apogonidae",0.733186038469639,0.0431522618312266,0.0735159711741059,0.00213925904945679,1.14778288335866
"Balistidae",0.753965168216198,0.0334534434461844,0.0697341090011224,0.0045907219522761,1.28609665199416
"Blenniidae",0.795255666122895,0.0393008586725398,0.0644982407031604,0.00284573514737631,1.17764025996629
"Chaetodontidae",0.763456026677273,0.0343649088289402,0.0882500238590215,0.00426746843528649,1.15113944081564
"Cirrhitidae",0.679532430938003,0.0586281395782189,0.0663740923666455,0.00232879885354062,1.2155699826461
"Ephippidae",0.786507339621716,0.0639423398266713,0.0958962396366251,0.0103581310659819,1.13369040986428
"Gobiidae",0.830454644677336,0.0588010768744072,0.0582009429721372,0.00335548839560375,1.19177068515
"Holocentridae",0.696117231771879,0.0563889052648501,0.0981430767714594,0.00744822989828982,1.17656893887836
"Labridae",0.796121112556016,0.0319591895459325,0.0624375176214421,0.00231527676840052,1.257526537566
"Mullidae",0.735766172003983,0.0499757479593937,0.0945674474631127,0.0103415103385004,1.21884191583823
"Pomacanthidae",0.772623686949309,0.0419178325055576,0.0774671438717006,0.00281558881477001,1.15072794436204
"Pomacentridae",0.761853240969385,0.0206699008436752,0.0811224381792419,0.00118110230697024,1.14701559726085
"Scaridae",0.760868129008945,0.0461645530770209,0.0709009768308322,0.00614997987624664,1.22970862135136
"Scorpaenidae",0.79363592355978,0.0440417212575858,0.0602302215799288,0.00255039735226324,1.21641557913133
"Serranidae",0.777608124407004,0.0419711048458043,0.0640587526889076,0.00515519989713268,1.29974367205065
"Tetraodontidae",0.719832399115156,0.0633268033328108,0.0658147007636905,0.00368606647591783,1.21822367366126
"Zanclidae",0.766484910436856,0.0531470854675097,0.0993499489361086,0.0121396576765379,1.10739045706416
