species,h_m,r_m
Sargocentron_suborbitale,3.45,1.96697
Clepticus_africanus,3.09413978484369,1.41474453017833
Chlorurus_strongylocephalus,2,1.41194
Scarus_coeruleus,2,0.966914
Leptoscarus_vaigiensis,2.135,1.130235
Calotomus_carolinus,2,1.52403
Calotomus_viridescens,2,1.2983
Calotomus_spinidens,2,1.11124
Cryptotomus_roseus,2,1.11485
Nicholsina_denticulata,2,1.78293
Sparisoma_cretense,2.86,1.64453
Sparisoma_radians,2,1.12435
Sparisoma_atomarium,2,1.41474453017833
Sparisoma_tuiupiranga,2,1.18429
Sparisoma_aurofrenatum,2.01,1.41474453017833
Sparisoma_amplum,3.09413978484369,1.41474453017833
Sparisoma_viride,2,1.12955
Sparisoma_axillare,3.09413978484369,1.41474453017833
Sparisoma_rubripinne,2,1.19765
Sparisoma_frondosum,3.09413978484369,1.41474453017833
Sparisoma_chrysopterum,2,1.35053
Cetoscarus_ocellatus,3.09413978484369,1.41474453017833
Cetoscarus_bicolor,2,1.90391
Bolbometopon_muricatum,2.67,1.36558
Hipposcarus_harid,2,2.00539
Hipposcarus_longiceps,2.37,1.70198
Chlorurus_japanensis,2,1.43107666666667
Chlorurus_frontalis,2,1.52723
Chlorurus_rhakoura,3.09413978484369,1.15337
Chlorurus_spilurus,3.09413978484369,1.41474453017833
Chlorurus_sordidus,2.62,1.07438
Chlorurus_bleekeri,2,1.478105
Chlorurus_bowersi,2.37,1.73087
Chlorurus_microrhinos,3.09413978484369,1.209155
Chlorurus_capistratoides,3.09413978484369,1.78677
Scarus_dubius,3.09413978484369,1.59271
Scarus_longipinnis,2,1.82113
Scarus_psittacus,2,1.80877
Scarus_schlegeli,2.375,1.16091
Scarus_russelii,2,1.41013
Scarus_hypselopterus,3.09413978484369,1.137864
Scarus_flavipectoralis,2,1.5416
Scarus_spinus,2,1.51149
Scarus_festivus,2,1.14878
Scarus_chameleon,2,1.53754
Scarus_quoyi,2,1.2368
Scarus_oviceps,2,1.60079
Scarus_globiceps,2,1.53256
Scarus_rivulatus,2.355,1.66214
Scarus_taeniopterus,2.01,1.05368
Scarus_zelindae,3.09413978484369,1.41474453017833
Scarus_iseri,2,1.31655
Scarus_coelestinus,2.03,1.0416
Scarus_guacamaia,2,1.7052
Scarus_trispinosus,3.09413978484369,1.41474453017833
Scarus_koputea,3.09413978484369,1.53844
Scarus_xanthopleura,3.09413978484369,1.66137
Scarus_ferrugineus,2,1.69673
Scarus_rubroviolaceus,2,1.9416
Scarus_compressus,2,1.41474453017833
Scarus_ghobban,2,1.77477
Scarus_frenatus,2,1.39019
Scarus_dimidiatus,2,1.27869
Scarus_altipinnis,2,1.24949
Scarus_prasiognathos,2,2.018835
Scarus_niger,2,1.40423
Scarus_tricolor,2,1.6663
Scarus_forsteni,2,1.38399
Scarus_hoefleri,3.09413978484369,1.38489
Coris_atlantica,3.09413978484369,1.36347
Scarus_perrico,2,1.50447
Pseudojuloides_cerasinus,3.09413978484369,1.04692
Chlorurus_perspicillatus,3.09413978484369,1.72891
Thalassoma_newtoni,3.09413978484369,1.41474453017833
Scarus_vetula,2,1.51832
Parapriacanthus_ransonneti,3.4,2.02569
Pempheris_oualensis,3.57999992370606,1.9865
Pempheris_vanicolensis,3.45,2.2362
Pempheris_schwenkii,3.4,2.3703
Pempheris_schomburgkii,3.11,2.43832
Pempheris_analis,3.4,2.08044
Pempheris_mangula,3.37142856052944,2.67258
Pempheris_adusta,3.37142856052944,2.25637875
Pempheris_molucca,3.26,2.241
Lactophrys_bicaudalis,3.335,1.352806
Rhinesomus_triqueter,3.12166666666667,1.259928125
Acanthostracion_quadricornis,3.225,1.36959
Acanthostracion_polygonius,2.69,0.375069
Lactoria_diaphana,3.4,1.05452
Ostracion_meleagris,2.71,1.26639
Ostracion_cubicus,3.37,1.40622
Ostracion_whitleyi,3.12166666666667,1.9613
Ostracion_solorensis,3.12166666666667,1.29353
Cantherhines_longicaudus,2.93545454545455,1.64318
Canthigaster_capistrata,3.51,1.48352933333333
Zanclus_cornutus,2.49,2.26680333333333
Zebrasoma_velifer,2,1.93367
Acanthurus_bahianus,2.31798076923077,2.33396747307692
Paracentropyge_multifasciata,2.79,1.45187
Centropyge_loriculus,2.78,1.20246
Kyphosus_sandwicensis,2.39,2.86011055555556
Hypoplectrus_providencianus,3.94293750166893,1.55487900816327
Epinephelus_marginatus,4.255,1.50773666666667
Fistularia_commersonii,4.27,1.75645
Fistularia_tabacaria,4.095,1.75645
Bothus_ocellatus,3.64,1.04347
Bothus_mancus,4.25,1.3132
Ellochelon_vaigiensis,2.1800000333786,1.37306
Abudefduf_luridus,2.76626666682561,1.64865437906691
Pomacentrus_callainus,2.76626666682561,1.55477
Pomacentrus_trichrourus,2.68,1.71368
Pomacentrus_spilotoceps,2.76626666682561,2.30588
Acanthurus_nigricans,2,2.4416175
Halichoeres_hortulanus,3.4,1.54886
Pygoplites_diacanthus,2.69,1.50894
Ctenochaetus_striatus,2,1.96027666666667
Zebrasoma_scopas,2,2.02091
Gomphosus_varius,3.68,2.01707
Paracirrhites_arcatus,3.66500002384186,0.988612
Epibulus_insidiator,4.01,1.62422
Chaetodon_kleinii,3.055,2.19658666666667
Naso_brevirostris,2.22,2.66667
Naso_lituratus,2.32,2.54549
Naso_vlamingii,2.16,2.38801
Acanthurus_thompsoni,3.64,1.59570333333333
Melichthys_vidua,3.38,1.69
Macolor_macularis,3.97,3.10663
Lutjanus_gibbus,3.87500005722046,2.16035
Parupeneus_multifasciatus,3.555,1.77767
Lutjanus_bohar,3.94499994277954,2.80761
Parupeneus_insularis,3.765,2.001615
Cheilinus_undulatus,3.99,1.4887
Cephalopholis_argus,4.32,1.45406
