Species,Family,species,sizemax
Abalistes stellatus,Balistidae,Abalistes_stellatus,60
Abudefduf abdominalis,Pomacentridae,Abudefduf_abdominalis,30
Abudefduf bengalensis,Pomacentridae,Abudefduf_bengalensis,17
Abudefduf concolor,Pomacentridae,Abudefduf_concolor,19
Abudefduf conformis,Pomacentridae,Abudefduf_conformis,13.1
Abudefduf natalensis,Pomacentridae,Abudefduf_natalensis,17
Abudefduf notatus,Pomacentridae,Abudefduf_notatus,17
Abudefduf saxatilis,Pomacentridae,Abudefduf_saxatilis,22.9
Abudefduf septemfasciatus,Pomacentridae,Abudefduf_septemfasciatus,23
Abudefduf sexfasciatus,Pomacentridae,Abudefduf_sexfasciatus,19
Abudefduf sordidus,Pomacentridae,Abudefduf_sordidus,24
Abudefduf sparoides,Pomacentridae,Abudefduf_sparoides,16
Abudefduf troschelii,Pomacentridae,Abudefduf_troschelii,20
Abudefduf vaigiensis,Pomacentridae,Abudefduf_vaigiensis,20
Abudefduf whitleyi,Pomacentridae,Abudefduf_whitleyi,14
Acanthistius cinctus,Serranidae,Acanthistius_cinctus,50
Acanthochromis polyacanthus,Pomacentridae,Acanthochromis_polyacanthus,14
Acanthostracion polygonius,Ostraciidae,Acanthostracion_polygonius,36.5458910790314
Acanthostracion quadricornis,Ostraciidae,Acanthostracion_quadricornis,36.5458910790314
Acanthurus achilles,Acanthuridae,Acanthurus_achilles,24
Acanthurus albipectoralis,Acanthuridae,Acanthurus_albipectoralis,33
Acanthurus auranticavus,Acanthuridae,Acanthurus_auranticavus,45
Acanthurus bahianus,Acanthuridae,Acanthurus_bahianus,38.7209987829669
Acanthurus bariene,Acanthuridae,Acanthurus_bariene,50
Acanthurus blochii,Acanthuridae,Acanthurus_blochii,45
Acanthurus chirurgus,Acanthuridae,Acanthurus_chirurgus,39
Acanthurus coeruleus,Acanthuridae,Acanthurus_coeruleus,39
Acanthurus dussumieri,Acanthuridae,Acanthurus_dussumieri,54
Acanthurus fowleri,Acanthuridae,Acanthurus_fowleri,45
Acanthurus grammoptilus,Acanthuridae,Acanthurus_grammoptilus,35
Acanthurus guttatus,Acanthuridae,Acanthurus_guttatus,26
Acanthurus leucocheilus,Acanthuridae,Acanthurus_leucocheilus,45
Acanthurus leucopareius,Acanthuridae,Acanthurus_leucopareius,25
Acanthurus leucosternon,Acanthuridae,Acanthurus_leucosternon,54
Acanthurus lineatus,Acanthuridae,Acanthurus_lineatus,38
Acanthurus maculiceps,Acanthuridae,Acanthurus_maculiceps,40
Acanthurus mata,Acanthuridae,Acanthurus_mata,50
Acanthurus monroviae,Acanthuridae,Acanthurus_monroviae,45
Acanthurus nigricans,Acanthuridae,Acanthurus_nigricans,21.3
Acanthurus nigricauda,Acanthuridae,Acanthurus_nigricauda,40
Acanthurus nigrofuscus,Acanthuridae,Acanthurus_nigrofuscus,21
Acanthurus nigroris,Acanthuridae,Acanthurus_nigroris,25
Acanthurus nubilus,Acanthuridae,Acanthurus_nubilus,26
