"","species","sizemax","sst","k_m","k_sd"
"1","Acanthurus_achilles",24,25,0.378359936197918,0.0899195052186966
"2","Acanthurus_achilles",24,26,0.386378734555181,0.0909144478645131
"3","Acanthurus_achilles",24,27,0.394631728257708,0.0922099138643376
"4","Acanthurus_achilles",24,28,0.403126824794005,0.0938330022466188
"5","Acanthurus_achilles",24,29,0.411872231694502,0.095810163744976
"6","Acanthurus_albipectoralis",33,21,0.21682289577576,0.0249516149984175
"7","Acanthurus_albipectoralis",33,22,0.221315833731023,0.0235243170818688
"8","Acanthurus_albipectoralis",33,25,0.235587442072808,0.020222772599091
"9","Acanthurus_albipectoralis",33,26,0.240623743906081,0.0196932539623028
"10","Acanthurus_albipectoralis",33,27,0.245807432586404,0.0195888202535041
"11","Acanthurus_albipectoralis",33,28,0.251143477201139,0.0199787924458899
"12","Acanthurus_albipectoralis",33,29,0.256637034924418,0.0209023251710214
"13","Acanthurus_auranticavus",45,24,0.212572073608972,0.0501229960893939
"14","Acanthurus_auranticavus",45,25,0.217098989553343,0.0507685181217646
"15","Acanthurus_auranticavus",45,26,0.221758339290711,0.0515882574902761
"16","Acanthurus_auranticavus",45,27,0.226554582987328,0.0525964631156237
"17","Acanthurus_auranticavus",45,28,0.231492349448294,0.0538068698962127
"18","Acanthurus_auranticavus",45,29,0.236576443087232,0.0552325156812124
"19","Acanthurus_auranticavus",45,30,0.241811851206376,0.0568856122992984
"20","Acanthurus_bahianus",38.09999847,22,0.274126679605537,0.0535715223506377
"21","Acanthurus_bahianus",38.09999847,23,0.279960043494077,0.0540209490833762
"22","Acanthurus_bahianus",38.09999847,24,0.285963709870862,0.0547138798101193
"23","Acanthurus_bahianus",38.09999847,25,0.292143395853906,0.055673162882199
"24","Acanthurus_bahianus",38.09999847,26,0.298505033546239,0.0569200694671621
"25","Acanthurus_bahianus",38.09999847,27,0.305054778857714,0.0584737812358158
"26","Acanthurus_bahianus",38.09999847,28,0.311799020716366,0.0603510540440674
"27","Acanthurus_bariene",50,28,0.207272110834688,0.029620298906337
"28","Acanthurus_bariene",50,29,0.211819135476211,0.0306046479379421
"29","Acanthurus_blochii",45,21,0.181025210063995,0.0410555256373564
"30","Acanthurus_blochii",45,24,0.192698438392508,0.0418632195096455
"31","Acanthurus_blochii",45,25,0.196818370407007,0.0424256774285151
"32","Acanthurus_blochii",45,26,0.20105917601388,0.0431589818977445
"33","Acanthurus_blochii",45,27,0.205424942520335,0.0440770025074982
"34","Acanthurus_blochii",45,28,0.209919912348006,0.0451927838119046
"35","Acanthurus_blochii",45,29,0.214548489464444,0.0465183497503686
"36","Acanthurus_chirurgus",39,22,0.236416196705963,0.0493262432593258
"37","Acanthurus_chirurgus",39,23,0.241372473971481,0.049459544867298
"38","Acanthurus_chirurgus",39,24,0.246472345533248,0.0497701470282522
"39","Acanthurus_chirurgus",39,25,0.251720598512791,0.0502783718368653
"40","Acanthurus_chirurgus",39,26,0.257122199345271,0.0510042236105606
"41","Acanthurus_chirurgus",39,27,0.262682301126542,0.0519668846783023
"42","Acanthurus_chirurgus",39,28,0.268406251284958,0.0531842551784249
"43","Acanthurus_coeruleus",39,23,0.167829329447215,0.0312599720164133
"44","Acanthurus_coeruleus",39,24,0.171352190349521,0.0312578412011343
