term,response,Estimate,l-95% CI,u-95% CI,type
sigma,log(N excretion),0.9205,0.9068,0.9353,_
sigma,log(P excretion),1.0552,1.0394,1.0721,_
sigma,log(production),0.8437,0.831,0.8565,_
sigma,log(herbivory),1.2087,1.1897,1.2274,_
sigma,log(piscivory),1.2591,1.2329,1.2866,_
"rescor(logFn,logFp)",_,0.9646,0.9632,0.9661,_
"rescor(logFn,logGc)",_,0.9137,0.9102,0.9173,_
"rescor(logFp,logGc)",_,0.8162,0.8089,0.8233,_
"rescor(logFn,logIherb)",_,0.7593,0.7501,0.7683,_
"rescor(logFp,logIherb)",_,0.6781,0.6663,0.6897,_
"rescor(logGc,logIherb)",_,0.7496,0.7402,0.7587,_
"rescor(logFn,logIpisc)",_,0.4855,0.4621,0.5082,_
"rescor(logFp,logIpisc)",_,0.5295,0.507,0.5511,_
"rescor(logGc,logIpisc)",_,0.4156,0.3903,0.4405,_
"rescor(logIherb,logIpisc)",_,0.2922,0.2637,0.3201,_
sd(logFn_Intercept),_,0.6087,0.5059,0.7287,random locality
sd(logFp_Intercept),_,0.7097,0.5889,0.8491,random locality
sd(logGc_Intercept),_,0.5815,0.4828,0.6966,random locality
sd(logIherb_Intercept),_,0.8818,0.7346,1.0519,random locality
sd(logIpisc_Intercept),_,0.8471,0.697,1.0116,random locality
"cor(logFn_Intercept,logFp_Intercept)",_,0.9515,0.9215,0.972,random locality
"cor(logFn_Intercept,logGc_Intercept)",_,0.8823,0.8196,0.9284,random locality
"cor(logFp_Intercept,logGc_Intercept)",_,0.7215,0.586,0.8245,random locality
"cor(logFn_Intercept,logIherb_Intercept)",_,0.7161,0.5745,0.8231,random locality
"cor(logFp_Intercept,logIherb_Intercept)",_,0.5563,0.3646,0.7089,random locality
"cor(logGc_Intercept,logIherb_Intercept)",_,0.8239,0.7268,0.895,random locality
"cor(logFn_Intercept,logIpisc_Intercept)",_,0.5856,0.3838,0.7376,random locality
"cor(logFp_Intercept,logIpisc_Intercept)",_,0.6716,0.5005,0.797,random locality
"cor(logGc_Intercept,logIpisc_Intercept)",_,0.3578,0.1321,0.5629,random locality
"cor(logIherb_Intercept,logIpisc_Intercept)",_,0.3667,0.1352,0.5716,random locality
sd(logFn_Intercept),_,0.5886,0.5359,0.6452,random sites
sd(logFp_Intercept),_,0.6406,0.5817,0.7026,random sites
sd(logGc_Intercept),_,0.5627,0.5139,0.6172,random sites
sd(logIherb_Intercept),_,0.7143,0.6458,0.7839,random sites
sd(logIpisc_Intercept),_,0.5557,0.4849,0.6307,random sites
"cor(logFn_Intercept,logFp_Intercept)",_,0.98,0.9736,0.9852,random sites
"cor(logFn_Intercept,logGc_Intercept)",_,0.9761,0.9675,0.9829,random sites
"cor(logFp_Intercept,logGc_Intercept)",_,0.92,0.895,0.9414,random sites
"cor(logFn_Intercept,logIherb_Intercept)",_,0.845,0.7994,0.8846,random sites
"cor(logFp_Intercept,logIherb_Intercept)",_,0.7885,0.7294,0.8409,random sites
"cor(logGc_Intercept,logIherb_Intercept)",_,0.8441,0.7996,0.8833,random sites
"cor(logFn_Intercept,logIpisc_Intercept)",_,0.8297,0.7536,0.894,random sites
"cor(logFp_Intercept,logIpisc_Intercept)",_,0.8324,0.7582,0.8947,random sites
"cor(logGc_Intercept,logIpisc_Intercept)",_,0.8088,0.7239,0.8786,random sites
"cor(logIherb_Intercept,logIpisc_Intercept)",_,0.5566,0.4238,0.6738,random sites
