"Family","Species","species","k_m","k_sd","Qc_m","Qc_sd","Qn_m","Qn_sd","Qp_m","Qp_sd","Dc_m","Dc_sd","Dn_m","Dn_sd","Dp_m","Dp_sd","trophic_guild_predicted","alpha_m","alpha_sd","f0_m","f0_sd","theta_m","lwa_m","lwa_sd","lwb_m","lwb_sd","h_m","r_m","v_m","linf_m","F0nz_m","F0nz_sd","F0pz_m","F0pz_sd","ac_m","an_m","ap_m"
"Balistidae","Abalistes stellatus","Abalistes_stellatus",0.1506551238304,0.02105975900704,32.5334446955615,0.397922715830249,8.88414099828617,0.112979187450104,5.35169475043804,0.110354633381192,29.0801408567108,1.9778808444324,4.99109944370948,0.484697704191458,0.794956352716479,0.142473769666579,6,0.753965168216198,0.0334534434461846,0.00187828220547927,0.000334406155726842,2.19757787533779,0.0257,0.013765306122449,2.94,0.086734693877551,3.31152173291082,1.70008,26,50,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Balistidae","Abalistes stellatus","Abalistes_stellatus",0.157257358447053,0.021887070322128,32.5334446955615,0.397922715830249,8.88414099828617,0.112979187450104,5.35169475043804,0.110354633381192,29.0801408567108,1.9778808444324,4.99109944370948,0.484697704191458,0.794956352716479,0.142473769666579,6,0.753965168216198,0.0334534434461846,0.00218651378232952,0.000334406155726842,2.19757787533779,0.0257,0.013765306122449,2.94,0.086734693877551,3.31152173291082,1.70008,28,50,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf abdominalis","Abudefduf_abdominalis",0.253222321814178,0.0382383515620008,34.2423390627123,0.357557609639031,9.21827620298792,0.104682871782799,5.2733686137379,0.0941084470619441,38.6918828396671,1.82951030850808,7.43722195103047,0.480095894179745,0.961187153934949,0.142281621659112,8,0.761853240969385,0.0206699008436752,0.00244919452144219,0.000103233936410007,1.47519696390573,0.02754,0.0119081632653061,3.05,0.0816326530612246,3.02,2.62974,25,30,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf bengalensis","Abudefduf_bengalensis",0.4248436461191,0.0968333914615429,36.4705325537687,0.599408014930121,9.9592582709594,0.170686861278561,4.42562575725186,0.158999673415464,38.9010714773412,2.17205197645269,7.35043124506828,0.568093147169248,0.903407209405015,0.16993422521005,8,0.761853240969385,0.0206699008436752,0.00179244764095022,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.08,2.29939333333333,21,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf bengalensis","Abudefduf_bengalensis",0.452291653739982,0.0992593823648389,36.4705325537687,0.599408014930121,9.9592582709594,0.170686861278561,4.42562575725186,0.158999673415464,38.9010714773412,2.17205197645269,7.35043124506828,0.568093147169248,0.903407209405015,0.16993422521005,8,0.761853240969385,0.0206699008436752,0.0022671031058435,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.08,2.29939333333333,24,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf bengalensis","Abudefduf_bengalensis",0.461976593867947,0.100735025904258,36.4705325537687,0.599408014930121,9.9592582709594,0.170686861278561,4.42562575725186,0.158999673415464,38.9010714773412,2.17205197645269,7.35043124506828,0.568093147169248,0.903407209405015,0.16993422521005,8,0.761853240969385,0.0206699008436752,0.00244919452144219,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.08,2.29939333333333,25,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf bengalensis","Abudefduf_bengalensis",0.47194431695239,0.102594934695899,36.4705325537687,0.599408014930121,9.9592582709594,0.170686861278561,4.42562575725186,0.158999673415464,38.9010714773412,2.17205197645269,7.35043124506828,0.568093147169248,0.903407209405015,0.16993422521005,8,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.08,2.29939333333333,26,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf bengalensis","Abudefduf_bengalensis",0.482204318012116,0.104868020229199,36.4705325537687,0.599408014930121,9.9592582709594,0.170686861278561,4.42562575725186,0.158999673415464,38.9010714773412,2.17205197645269,7.35043124506828,0.568093147169248,0.903407209405015,0.16993422521005,8,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.08,2.29939333333333,27,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf bengalensis","Abudefduf_bengalensis",0.492766449130896,0.107581481952375,36.4705325537687,0.599408014930121,9.9592582709594,0.170686861278561,4.42562575725186,0.158999673415464,38.9010714773412,2.17205197645269,7.35043124506828,0.568093147169248,0.903407209405015,0.16993422521005,8,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.08,2.29939333333333,28,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf bengalensis","Abudefduf_bengalensis",0.503640934118355,0.110760478958287,36.4705325537687,0.599408014930121,9.9592582709594,0.170686861278561,4.42562575725186,0.158999673415464,38.9010714773412,2.17205197645269,7.35043124506828,0.568093147169248,0.903407209405015,0.16993422521005,8,0.761853240969385,0.0206699008436752,0.00331902424380386,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.08,2.29939333333333,29,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf concolor","Abudefduf_concolor",0.412649295372562,0.0710067780219433,36.8980997727959,0.51021140672811,9.9667668440705,0.148341509555165,4.2942724522104,0.136935294350165,29.1850395540823,1.26943159169435,3.91152877248708,0.306198560286076,0.527585801291049,0.0909278826066252,2,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.68,1.75538,27,19,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf concolor","Abudefduf_concolor",0.421699423239719,0.073065683838138,36.8980997727959,0.51021140672811,9.9667668440705,0.148341509555165,4.2942724522104,0.136935294350165,29.1850395540823,1.26943159169435,3.91152877248708,0.306198560286076,0.527585801291049,0.0909278826066252,2,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.68,1.75538,28,19,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf conformis","Abudefduf_conformis",0.44930039182292,0.0518634771273249,37.1403705760736,0.509023334135636,9.15505954747356,0.156217939599211,4.82201894998967,0.138934143864877,35.7282455069806,1.69103983909712,6.2285223508428,0.436421429748379,0.777878659698598,0.128722793220082,8,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.01514,0.00920918367346939,2.99,0.0969387755102041,2.76626666682561,2.29866,28,13.1,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf natalensis","Abudefduf_natalensis",0.509514342676263,0.0434809781600925,36.4880552016092,0.289706885776174,9.77072728908728,0.0889090566859101,4.46916171002779,0.079162099460545,35.2765259708918,1.55261230912839,6.08009060764484,0.40355721668863,0.768502035633737,0.118314450809772,8,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.76,2.33865333333333,26,13,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf notatus","Abudefduf_notatus",0.499470099143895,0.112258532939664,36.7462512811627,0.651136628578,10.0782898329399,0.186340710312612,4.30138928825714,0.172303459595232,32.9141590630927,2.50726264672851,5.69550455398534,0.468917409952709,0.801537351212439,0.131843742737645,8,0.761853240969385,0.0206699008436752,0.00331902424380386,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.73,2.0111925,29,17,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf saxatilis","Abudefduf_saxatilis",0.302192458075603,0.048117812647043,34.3703315739309,0.388361943462794,9.24142265708951,0.111864525196267,5.23668937166486,0.100841026128608,38.0194598924275,1.39807591061026,6.96561393264182,0.362552863301189,0.926885256807045,0.109148931075899,8,0.761853240969385,0.0206699008436752,0.00193947948519089,0.000103233936410007,1.47519696390573,0.01862,0.00562244897959184,3.05,0.0663265306122451,3.29,1.53883,22,22.89999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
